Read Num,Threads,Runs,Time Elapsed (sec),,,,,,Thread,Redis,Postgres,,,,,,,,,,,,,,,,,
1,1,1000000,464.334,,,,,,1,429.9513333,978.186,,,,,,,,,,,,,,,,,
2,1,1000000,366.751,,429.9513333,,,,5,110.8746667,244.031,,,,,,,,,,,,,,,,,
3,1,1000000,458.769,,,,,,10,58.42603333,140.462667,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read Num,Threads,Runs,Time Elapsed (sec),,,,,,,,,,,,,,,,,,,,,,,,,
1,5,1000000,113.686,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,1000000,110.071,,110.8746667,,,,,,,,,,,,,,,,,,,,,,,
3,5,1000000,108.867,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read Num,Threads,Runs,Time Elapsed (sec),,,,,,,,,,,,,,,,,,,,,,,,,x
1,10,1000000,54.433,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,1000000,60.1053,,58.42603333,,,,,,,,,,,,,,,,,,,,,,,
3,10,1000000,60.7398,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insert Num,Threads,Runs,Time Elapased (sec),,,,,,Thread,Redis,Postgres,,,,,,,,,,,,,,,,,
1,1,1000000,510.656,,,,,,1,508.3183333,1312.48,,,,,,,,,,,,,,,,,
2,1,1000000,511.48,,508.3183333,,,,5,122.442,316.777,,,,,,,,,,,,,,,,,
3,1,1000000,502.819,,,,,,10,80.7457,178.651,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insert Num,Threads,Runs,Time Elapased (sec),,,,,,,,,,,,,,,,,,,,,,,,,
1,5,1000000,123.248,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,1000000,117.833,,122.442,,,,,,,,,,,,,,,,,,,,,,,
3,5,1000000,126.245,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insert Num,Threads,Runs,Time Elapased (sec),,,,,,,,,,,,,,,,,,,,,,,,,
1,10,1000000,85.4943,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,1000000,90.7699,,80.7457,,,,,,,,,,,,,,,,,,,,,,,
3,10,1000000,65.9729,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Num,Threads,Runs,Time Elapsed (sec),,,,,,Thread,Redis,Postgres,,,,,,,,,,,,,,,,,
1,1,1000000,405.032,,,,,,1,476.9886667,1394.73667,,,,,,,,,,,,,,,,,
2,1,1000000,539.591,,476.9886667,,,,5,123.2743333,332.593333,,,,,,,,,,,,,,,,,
3,1,1000000,486.343,,,,,,10,67.0618,184.3094667,,,,,,,,,,,,,,,,,
