Read Num,Threads,Runs,Time Elapsed (sec)
1,1,1000000,779.121


Read Num,Threads,Runs,Time Elapsed (sec)
1,5,1000000,166.649


Read Num,Threads,Runs,Time Elapsed (sec)
1,10,1000000,95.7056


Insert Num,Threads,Runs,Time Elapased (sec)
1,1,1000000,986.887


Insert Num,Threads,Runs,Time Elapased (sec)
1,5,1000000,191.202


Insert Num,Threads,Runs,Time Elapased (sec)
1,10,1000000,102.872


Update Num,Threads,Runs,Time Elapsed (sec)
1,1,1000000,1009.29


Update Num,Threads,Runs,Time Elapsed (sec)
1,5,1000000,204.441


Update Num,Threads,Runs,Time Elapsed (sec)
1,10,1000000,107.506


Delete Num,Threads,Runs,Time Elapsed (sec)
1,1,1000000,876.23


Delete Num,Threads,Runs,Time Elapsed (sec)
1,5,1000000,191.448


Delete Num,Threads,Runs,Time Elapsed (sec)
1,10,1000000,101.726


10 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,1000000,107.835


50 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,1000000,32.5589


100 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,1000000,28.2607


10 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,1000000,133.801


50 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,1000000,39.5484


100 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,1000000,34.379


