Read Num,Threads,Runs,Time Elapsed (sec)
1,10,5000,0.736237


Insert Num,Threads,Runs,Time Elapased (sec)
1,10,5000,0.928862


Update Num,Threads,Runs,Time Elapsed (sec)
1,10,5000,0.952482


Delete Num,Threads,Runs,Time Elapsed (sec)
1,10,5000,0.497581


1 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,5000,0.912294,0.912294


50 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,5000,0.371386,0.00742772


50 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,5000,0.339176,0.00678352


1 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,5000,1.09402,1.09402


50 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,5000,0.404234,0.00808468


100 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,5000,0.344898,0.00344898


