Read Num,Threads,Runs,Time Elapsed (sec)
1,1,5000,1.6081
2,1,5000,1.60139
3,1,5000,2.42668


Read Num,Threads,Runs,Time Elapsed (sec)
1,5,5000,0.537093
2,5,5000,0.37809
3,5,5000,0.518828


Read Num,Threads,Runs,Time Elapsed (sec)
1,10,5000,0.300111
2,10,5000,0.302291
3,10,5000,0.291548


Insert Num,Threads,Runs,Time Elapased (sec)
1,1,5000,2.37815
2,1,5000,1.96466
3,1,5000,1.9573


Insert Num,Threads,Runs,Time Elapased (sec)
1,5,5000,0.557761
2,5,5000,0.593076
3,5,5000,0.568161


Insert Num,Threads,Runs,Time Elapased (sec)
1,10,5000,0.326377
2,10,5000,0.365704
3,10,5000,0.330468


Update Num,Threads,Runs,Time Elapsed (sec)
1,1,5000,2.40323
2,1,5000,2.39216
3,1,5000,2.37396


Update Num,Threads,Runs,Time Elapsed (sec)
1,5,5000,0.5649
2,5,5000,0.542336
3,5,5000,0.578399


Update Num,Threads,Runs,Time Elapsed (sec)
1,10,5000,0.341995
2,10,5000,0.316505
3,10,5000,0.36231


Delete Num,Threads,Runs,Time Elapsed (sec)
1,1,5000,0.909893
2,1,5000,0.887913
3,1,5000,0.912979


Delete Num,Threads,Runs,Time Elapsed (sec)
1,5,5000,0.228769
2,5,5000,0.226445
3,5,5000,0.22039


Delete Num,Threads,Runs,Time Elapsed (sec)
1,10,5000,0.142113
2,10,5000,0.148248
3,10,5000,0.146692


10 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,5000,0.339722
2,10,5000,0.583602
3,10,5000,0.418801


50 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,5000,0.326864
2,50,5000,0.401035
3,50,5000,0.375836


100 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,5000,0.368726
2,100,5000,0.392884
3,100,5000,0.348156


10 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,5000,0.887971
2,10,5000,0.607239
3,10,5000,0.550865


50 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,5000,0.430461
2,50,5000,0.53709
3,50,5000,0.530246


100 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,5000,0.529661
2,100,5000,0.469478
3,100,5000,0.428789


