Read Num,Threads,Runs,Time Elapsed (sec)
1,1,500,0.631693
2,1,500,0.622416
3,1,500,0.614964


Read Num,Threads,Runs,Time Elapsed (sec)
1,5,500,0.174565
2,5,500,0.167095
3,5,500,0.145448


Read Num,Threads,Runs,Time Elapsed (sec)
1,10,500,0.08694
2,10,500,0.094319
3,10,500,0.085886


Insert Num,Threads,Runs,Time Elapased (sec)
1,1,500,0.757682
2,1,500,0.650766
3,1,500,0.667738


Insert Num,Threads,Runs,Time Elapased (sec)
1,5,500,0.171921
2,5,500,0.164367
3,5,500,0.175179


Insert Num,Threads,Runs,Time Elapased (sec)
1,10,500,0.101517
2,10,500,0.098263
3,10,500,0.097889


Update Num,Threads,Runs,Time Elapsed (sec)
1,1,500,1.07039
2,1,500,0.898017
3,1,500,0.811517


Update Num,Threads,Runs,Time Elapsed (sec)
1,5,500,0.183382
2,5,500,0.17673
3,5,500,0.178726


Update Num,Threads,Runs,Time Elapsed (sec)
1,10,500,0.100972
2,10,500,0.097153
3,10,500,0.109503


Delete Num,Threads,Runs,Time Elapsed (sec)
1,1,500,0.469846
2,1,500,0.571673
3,1,500,0.599094


Delete Num,Threads,Runs,Time Elapsed (sec)
1,5,500,0.140862
2,5,500,0.127941
3,5,500,0.121691


Delete Num,Threads,Runs,Time Elapsed (sec)
1,10,500,0.075318
2,10,500,0.066938
3,10,500,0.067551


10 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,500,0.111911
2,10,500,0.125586
3,10,500,0.110096


50 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,500,0.058384
2,50,500,0.064112
3,50,500,0.067113


100 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,500,0.0744
2,100,500,0.059842
3,100,500,0.064656


10 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,10,500,0.125315
2,10,500,0.130379
3,10,500,0.130089


50 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,50,500,0.068756
2,50,500,0.067298
3,50,500,0.053007


100 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks
1,100,500,0.059413
2,100,500,0.057081
3,100,500,0.056787


