Timestamp,Reading,Inserting,Updating,Deleting,1 Simul. Reader,50 Simul. Reader,100 Simul. Reader,1 Simul. Task,50 Simul. Task,100 Simul. Task,1 Simul. Transaction,50 Simul. Transaction,100 Simul. Transaction
0.300698,0.0016778,0.0018764,0.0017306,0.0010278,0.0011412,0.0337032,0.0499252,0.0012094,0.0336204,0.0494636,0.0261162,0.974544,1.22944
0.663833,0.0014556,0.0019494,0.0020364,0.0012202,0.001087,0.0323336,0.0424996,0.0010026,0.0324774,0.0475074,0.0250066,1.15952,1.2062
1.03367,0.0013636,0.0018622,0.001916,0.0010328,0.0010682,0.0430974,0.0496562,0.0012188,0.039916,0.0537764,0.0336802,1.14869,1.25792
1.40123,0.0010978,0.0015976,0.0016506,0.000916,0.0009708,0.0374862,0.0504608,0.0011406,0.0416076,0.0607946,0.0249726,1.16361,1.22162
1.79802,0.0014268,0.0019856,0.0017988,0.0010316,0.0009252,0.0366418,0.0446264,0.0010904,0.0356358,0.0504528,0.0262486,1.12456,1.63204
2.16527,0.001355,0.0017882,0.0018354,0.0013684,0.001154,0.0391918,0.059253,0.0011834,0.0439414,0.0557168,0.0340506,1.14285,1.22029
2.53031,0.0014426,0.0019594,0.0019796,0.0011828,0.001135,0.0340324,0.0510726,0.0012138,0.0337704,0.0452754,0.025587,1.1574,1.22101
2.89314,0.0013548,0.0019054,0.001744,0.0010018,0.0010008,0.034021,0.0469318,0.0011476,0.0406942,0.051995,0.0254496,1.12902,1.21483
3.26035,0.0016558,0.002011,0.0020704,0.0013456,0.001291,0.0441866,0.0513706,0.0010338,0.0451532,0.062856,0.0270056,1.14778,1.21532
3.6208,0.0010374,0.0015368,0.0016326,0.000714,0.0007552,0.0321804,0.0540976,0.0011574,0.0407712,0.0473426,0.026044,1.12559,1.18995
3.98139,0.0014376,0.0018696,0.0018454,0.0010926,0.0010684,0.0335452,0.0410976,0.0012564,0.0340634,0.0461102,0.0229318,1.12441,1.21324
4.35139,0.0012632,0.001832,0.0018754,0.0011398,0.0010562,0.0432844,0.0623682,0.00126,0.0406452,0.061984,0.0261462,1.14426,1.24987
4.71596,0.0013044,0.0018144,0.0017886,0.0010504,0.0009702,0.0365216,0.0548396,0.0010488,0.0331538,0.0453334,0.0264654,1.12477,1.24298
5.07876,0.0011928,0.0017892,0.0017966,0.0011742,0.001041,0.034234,0.0525242,0.001137,0.035068,0.0576896,0.0265574,1.12747,1.20904
5.44721,0.0015644,0.001946,0.0019824,0.0011636,0.0010864,0.0360998,0.0558766,0.0012508,0.0407186,0.0537836,0.0265344,1.13279,1.26287
5.81151,0.0012314,0.0018238,0.001801,0.0009902,0.0009342,0.0337422,0.0445816,0.001207,0.0415194,0.0583222,0.0264062,1.12771,1.22841
6.1751,0.001209,0.0016638,0.0016568,0.0010092,0.001061,0.0330288,0.048574,0.001133,0.0363428,0.0545208,0.026052,1.13375,1.22027
6.53778,0.00136,0.0018306,0.0018718,0.0010706,0.0010854,0.0370164,0.0424534,0.0012172,0.0331434,0.0567838,0.025613,1.13617,1.2096
6.89815,0.0014022,0.0019474,0.0020526,0.001029,0.001036,0.0307594,0.0477056,0.0012124,0.0322596,0.048027,0.0257832,1.1242,1.20383
7.26351,0.0012864,0.0018848,0.001815,0.0011184,0.0009882,0.0341758,0.0476184,0.0011968,0.0365366,0.0498808,0.025433,1.13301,1.2464
7.66157,0.001493,0.0018452,0.0018662,0.0010438,0.001062,0.0382208,0.0467234,0.0011902,0.0360496,0.0474732,0.026446,1.12946,1.64083
8.02214,0.001438,0.0020216,0.0018074,0.0010608,0.0010828,0.0318446,0.0488258,0.0011772,0.0323838,0.0442514,0.025552,1.11731,1.21484
8.38538,0.0012282,0.0019136,0.0019338,0.0010068,0.001022,0.0388102,0.049512,0.0012712,0.0368624,0.0422342,0.0263188,1.13881,1.21505
8.75003,0.0013732,0.001823,0.0018238,0.0009848,0.0010398,0.0307588,0.0458452,0.0012244,0.0366654,0.0547798,0.0256468,1.1245,1.24633
9.112,0.0014426,0.0018506,0.0019098,0.0010866,0.001118,0.0336574,0.04363,0.0011422,0.0393566,0.0533942,0.0251278,1.13463,1.20221
9.47416,0.0013878,0.0019362,0.0019918,0.001221,0.001152,0.0349638,0.04211,0.0012022,0.037408,0.045774,0.025774,1.13388,1.2138
9.83806,0.0014036,0.0018634,0.0018928,0.0010588,0.0010502,0.0348204,0.042859,0.0012262,0.0343426,0.0456518,0.0278718,1.1291,1.2406
10.2004,0.0012556,0.0017626,0.0020058,0.0013382,0.001272,0.0328972,0.0513988,0.0011716,0.0411286,0.0562704,0.0259488,1.12259,1.20646
