Read Num, Time Elapsed (sec), 
1,0.00199
2,0.000545
3,0.000522
4,0.000418
5,0.000398


Insert Num, Time Elapased (sec), 
1,0.001455
2,0.0008
3,0.000697
4,0.000736
5,0.000783


Update Num, Time Elapsed (sec), 
1,0.000859
2,0.000766
3,0.000726
4,0.000837
5,0.000728


Delete Num, Time Elapsed (sec), 
1,0.000493
2,0.000572
3,0.000501
4,0.000498
5,0.000481


1 Simul. Reader Num, Time Elapsed (sec), Average Time per Read, 
1,0.000578,0.000578
2,0.000434,0.000434
3,0.000425,0.000425
4,0.000413,0.000413
5,0.000384,0.000384


50 Simul. Reader Num, Time Elapsed (sec), Average Time per Read, 
1,0.037725,0.0007545
2,0.034699,0.00069398
3,0.02737,0.0005474
4,0.025861,0.00051722
5,0.021883,0.00043766


100 Simul. Reader Num, Time Elapsed (sec), Average Time per Read, 
1,0.075309,0.00075309
2,0.048407,0.00048407
3,0.046651,0.00046651
4,0.04041,0.0004041
5,0.039408,0.00039408


1 Simul. Tasks Num, Time Elapsed (sec), Average Time per Tasks, 
1,0.000329,0.000329
2,0.000217,0.000217
3,0.000201,0.000201
4,0.000206,0.000206
5,0.000208,0.000208


50 Simul. Tasks Num, Time Elapsed (sec), Average Time per Tasks, 
1,0.012753,0.00025506
2,0.011828,0.00023656
3,0.011838,0.00023676
4,0.012086,0.00024172
5,0.011878,0.00023756


100 Simul. Tasks Num, Time Elapsed (sec), Average Time per Tasks, 
1,0.018951,0.00018951
2,0.019401,0.00019401
3,0.019654,0.00019654
4,0.019659,0.00019659
5,0.01927,0.0001927


1 Simul. Transactions, Time Elapsed (sec), Average Time per Tasks, 
1,0.008083,0.008083
2,0.008282,0.008282
3,0.008524,0.008524
4,0.009627,0.009627
5,0.009662,0.009662


50 Simul. Transactions, Time Elapsed (sec), Average Time per Tasks, 
1,0.102697,0.00205394
2,1.22236,0.0244472
3,1.23544,0.0247088
4,1.23971,0.0247943
5,1.05914,0.0211829


100 Simul. Transactions, Time Elapsed (sec), Average Time per Tasks, 
1,1.30338,0.0130338
2,1.12891,0.0112891
3,3.05026,0.0305026
4,1.27365,0.0127365
5,1.27619,0.0127619


10 Simul. Reader Num, Time Elapsed (sec), Average Time per Read, 
10,0.010092,0.0010092
20,0.016354,0.0008177
30,0.019959,0.0006653
40,0.02289,0.00057225
50,0.02565,0.000513
60,0.029851,0.000497517
70,0.032267,0.000460957
80,0.032279,0.000403487
90,0.032981,0.000366456
100,0.035863,0.00035863


10 Simul. Tasks Num, Time Elapsed (sec), Average Time per Tasks, 
10,0.005165,0.0005165
20,0.006466,0.0003233
30,0.009269,0.000308967
40,0.010261,0.000256525
50,0.012381,0.00024762
60,0.012703,0.000211717
70,0.015234,0.000217629
80,0.016471,0.000205887
90,0.019538,0.000217089
100,0.019919,0.00019919


10 Simul. Transactions, Time Elapsed (sec), Average Time per Tasks, 
10,0.020954,0.0020954
20,0.035032,0.0017516
30,0.05378,0.00179267
40,1.03015,0.0257539
50,1.2328,0.0246559
60,1.23971,0.0206619
70,1.24819,0.0178313
80,1.24914,0.0156143
90,1.2584,0.0139822
100,3.06127,0.0306127


