Timestamp,Reading,Inserting,Updating,Deleting,1 Simul. Reader,50 Simul. Reader,100 Simul. Reader,1 Simul. Task,50 Simul. Task,100 Simul. Task,1 Simul. Transaction,50 Simul. Transaction,100 Simul. Transaction
0.904784,0.000189,0.0002338,0.0003354,0.000142,0.0001532,0.0444986,0.0100232,7.9e-05,0.0032746,0.0065554,0.000812,0.0391638,0.0749738
1.76874,8.42e-05,7.18e-05,0.000113,4.4e-05,5.06e-05,0.0037842,0.0073696,5.64e-05,0.0033124,0.0061898,0.000869,0.0587006,0.0917252
2.49184,7.6e-05,6.56e-05,0.0001148,5.48e-05,5.02e-05,0.0031516,0.0063822,6.36e-05,0.0026668,0.0052062,0.000728,0.038353,0.0873386
3.09789,9.72e-05,6.76e-05,0.0001044,4.58e-05,5.08e-05,0.0043932,0.0065166,6.56e-05,0.0030826,0.0057116,0.0008034,0.033601,0.0663112
3.96127,8.44e-05,5.92e-05,0.0001042,4.52e-05,4.48e-05,0.0032,0.0068468,6.88e-05,0.0025992,0.0048704,0.0006898,0.0389412,0.114726
4.59069,0.0001078,7.14e-05,0.0001334,4.8e-05,5.7e-05,0.004577,0.0063376,6.48e-05,0.0029566,0.0053742,0.0007952,0.0339684,0.0709958
5.39924,7.16e-05,5.8e-05,9.28e-05,3.4e-05,4.48e-05,0.0066828,0.0081566,5.48e-05,0.0026878,0.0048204,0.0006876,0.039345,0.0985888
6.01576,7.82e-05,6.72e-05,0.0001228,4.88e-05,6.02e-05,0.0032838,0.0064636,6.62e-05,0.0027168,0.0051544,0.000719,0.0354948,0.0686714
6.98976,7e-05,5.88e-05,9.92e-05,3.74e-05,4.82e-05,0.0033912,0.0064484,6.9e-05,0.0027108,0.0052934,0.0008298,0.0545954,0.120758
7.61746,0.0001022,6.88e-05,9.34e-05,3.58e-05,4.28e-05,0.0035428,0.0063216,8.22e-05,0.0027396,0.0053102,0.000709,0.0361674,0.0699596
8.27311,0.0001108,9.08e-05,0.0001626,7.74e-05,7.46e-05,0.0033462,0.0063564,7.12e-05,0.0026546,0.0049772,0.0007132,0.0328766,0.0791662
8.88564,6.76e-05,5.86e-05,0.0001062,4.36e-05,4.54e-05,0.0036412,0.006086,6.24e-05,0.0025382,0.0061836,0.0008678,0.0352502,0.0672046
9.57319,7.24e-05,6.82e-05,0.0001142,5.22e-05,4.56e-05,0.0033094,0.0151928,0.0001462,0.0062792,0.0079366,0.000745,0.0340024,0.0690058
10.2873,7.04e-05,5.74e-05,0.000122,5.76e-05,4.48e-05,0.0031412,0.0062786,7.3e-05,0.0026508,0.005508,0.000747,0.0328808,0.0908156
10.9436,0.0001012,0.0001074,0.0001052,5.72e-05,4.68e-05,0.003227,0.0062166,8.14e-05,0.0026858,0.004809,0.0007296,0.0356888,0.077053
11.76,0.0001074,8.54e-05,0.0001356,5.6e-05,7.3e-05,0.0042,0.008099,6.36e-05,0.0053538,0.0069334,0.0009886,0.0491686,0.087561
12.4108,9.18e-05,6.2e-05,0.000102,3.86e-05,5.9e-05,0.0032526,0.0069466,9.44e-05,0.00303,0.0050796,0.0006944,0.0343612,0.076
13.2737,0.0001092,9.96e-05,0.0001438,7.08e-05,6.96e-05,0.004712,0.0106554,6.96e-05,0.0025748,0.0048802,0.0007126,0.063365,0.0846952
14.1459,8.24e-05,6.7e-05,0.0001138,6.62e-05,5.86e-05,0.0056288,0.011249,8.14e-05,0.0039482,0.0086188,0.0010702,0.046284,0.0967374
