Read Num, Time Elapsed (sec), 
1,0.000296
2,0.000159
3,0.00015
4,0.000124
5,0.000115


Insert Num, Time Elapased (sec), 
1,0.000431
2,0.000206
3,0.000166
4,0.000148
5,0.000195


Update Num, Time Elapsed (sec), 
1,0.000372
2,0.000255
3,0.000244
4,0.000226
5,0.000248


Delete Num, Time Elapsed (sec), 
1,0.000183
2,0.000127
3,0.000119
4,0.000103
5,0.000107


1 Simul. Reader Num, Time Elapsed (sec), Average Time per Read, 
1,0.000184,0.000184
2,0.000156,0.000156
3,0.000108,0.000108
4,0.000103,0.000103
5,0.000101,0.000101


50 Simul. Reader Num, Time Elapsed (sec), Average Time per Read, 
1,0.232037,0.00464074
2,0.005975,0.0001195
3,0.005668,0.00011336
4,0.010852,0.00021704
5,0.007819,0.00015638


100 Simul. Reader Num, Time Elapsed (sec), Average Time per Read, 
1,0.012054,0.00012054
2,0.011038,0.00011038
3,0.011153,0.00011153
4,0.011282,0.00011282
5,0.011382,0.00011382


1 Simul. Tasks Num, Time Elapsed (sec), Average Time per Tasks, 
1,0.000221,0.000221
2,0.000108,0.000108
3,0.000104,0.000104
4,8.7e-05,8.7e-05
5,0.000147,0.000147


50 Simul. Tasks Num, Time Elapsed (sec), Average Time per Tasks, 
1,0.006474,0.00012948
2,0.005633,0.00011266
3,0.00446,8.92e-05
4,0.004376,8.752e-05
5,0.004115,8.23e-05


100 Simul. Tasks Num, Time Elapsed (sec), Average Time per Tasks, 
1,0.009851,9.851e-05
2,0.007557,7.557e-05
3,0.007757,7.757e-05
4,0.006959,6.959e-05
5,0.007232,7.232e-05


1 Simul. Transactions, Time Elapsed (sec), Average Time per Tasks, 
1,0.001199,0.001199
2,0.00099,0.00099
3,0.001,0.001
4,0.001022,0.001022
5,0.000972,0.000972


50 Simul. Transactions, Time Elapsed (sec), Average Time per Tasks, 
1,0.057762,0.00115524
2,0.047342,0.00094684
3,0.044126,0.00088252
4,0.042485,0.0008497
5,0.039244,0.00078488


100 Simul. Transactions, Time Elapsed (sec), Average Time per Tasks, 
1,0.08215,0.0008215
2,0.108264,0.00108264
3,0.083129,0.00083129
4,0.081542,0.00081542
5,0.074078,0.00074078


10 Simul. Reader Num, Time Elapsed (sec), Average Time per Read, 
10,0.000979,9.79e-05
20,0.001528,7.64e-05
30,0.002211,7.37e-05
40,0.002794,6.985e-05
50,0.003575,7.15e-05
60,0.004427,7.37833e-05
70,0.005041,7.20143e-05
80,0.00571,7.1375e-05
90,0.006529,7.25444e-05
100,0.006996,6.996e-05


10 Simul. Tasks Num, Time Elapsed (sec), Average Time per Tasks, 
10,0.00086,8.6e-05
20,0.001273,6.365e-05
30,0.001864,6.21333e-05
40,0.002549,6.3725e-05
50,0.003331,6.662e-05
60,0.003578,5.96333e-05
70,0.004405,6.29286e-05
80,0.004508,5.635e-05
90,0.005163,5.73667e-05
100,0.006065,6.065e-05


10 Simul. Transactions, Time Elapsed (sec), Average Time per Tasks, 
10,0.008243,0.0008243
20,0.017594,0.0008797
30,0.024291,0.0008097
40,0.034221,0.000855525
50,0.056466,0.00112932
60,0.064257,0.00107095
70,0.056761,0.000810871
80,0.059425,0.000742812
90,0.067539,0.000750433
100,0.07236,0.0007236


